ID,Anime Name,Song Type,Song Info,mp3 Links,Full Versions,Rank
1,Kidou Senshi Gundam Seed Destiny,ED5,"""tears ~ReMix2013"" by Lisa Komine",Link,Link,
2,Gundam Evolve,ED4,"""TIME IS ON MY SIDE"" by lisa",Link,Link,
3,Boukyaku no Senritsu,OP,"""Will"" by lisa",Link,Link,
4,Trinity Blood,IN,"""Requiem~Inori"" by lisa",Link,Link,
5,Mobile Suit Gundam Seed Destiny Special Edition,ED2,"""tears"" by lisa",Link,Link,
6,Rental Magica,OP,"""Sora ni Saku"" by Lisa Komine",Link,Link,
7,Rental Magica,OP2,"""Faith"" by Lisa Komine",Link,Link,
8,Rental Magica,OP3,"""Sora ni Saku ~Hikigatari Version~"" by Lisa Komine",Link,Link,
9,Kurogane no Linebarrels,IN,"""Kokoro no Mama ni"" by Lisa Komine",Link,Link,
10,Kurogane no Linebarrels,IN,"""PROUD"" by Lisa Komine",Link,Link,
11,Ristorante Paradiso,ED,"""Suteki na Kajitsu"" by Lisa Komine",Link,Link,
12,Ristorante Paradiso,ED2,"""Suteki na Kajitsu (Hikigatari Version)"" by Lisa Komine",Link,Link,
13,Ristorante Paradiso,IN,"""poco a poco ~ Chotto Soko made"" by Lisa Komine",Link,Link,
14,Shinrei Tantei Yakumo,ED,"""Missing You"" by Lisa Komine",Link,Link,
15,Gosick,ED,"""Resuscitated Hope"" by Lisa Komine",Link,Link,
16,Gosick,ED2,"""unity"" by Lisa Komine",Link,Link,
17,Tokyo Ravens,IN,"""Red monochrome"" by Lisa Komine",Link,Link,
